Título,Descrição,Preço,Local,Ano,KM Rodado
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.000,00","São Carlos, SP",2011/2012,96.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 32.000,00","Mossoró, RN",2011/2012,94.000 Km
Renault Sandero Stepway,Sandero Stepway 1.6 16V (Flex) manual,"R$ 32.000,00","São José do Rio Preto, SP",2010/2010,156.000 Km
Chevrolet Astra Hatch,Astra Hatch Advantage 2.0 (Flex) manual,"R$ 32.000,00","Redenção, PA",2009/2010,120.000 Km
Volkswagen SpaceFox,SpaceFox 1.6 8V (Flex) manual,"R$ 32.000,00","Campo Largo, PR",2008/2009,158.540 Km
Honda Fit,New Fit LX 1.4 (flex) manual,"R$ 32.099,00","Rio de Janeiro, RJ",2009/2009,75.921 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.190,00","Campinas, SP",2010/2011,70.000 Km
Volkswagen Gol,Gol 1.0 TEC Special (Flex) 4p manual,"R$ 32.199,00","Rio de Janeiro, RJ",2014/2015,56.500 Km
Ford New Fiesta Sedan,New Fiesta Sedan 1.6 SE (Flex) manual,"R$ 32.199,00","Rio de Janeiro, RJ",2014/2014,59.496 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.200,00","São Paulo, SP",2014/2014,119.421 Km
Volkswagen Voyage,Voyage Comfortline 1.6 (Flex) manual,"R$ 32.220,00","Rio de Janeiro, RJ",2012/2013,200 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 32.291,00","Curitiba, PR",2011/2012,129.633 Km
Peugeot 208,208 1.5 8V Active (Flex) manual,"R$ 32.299,00","Rio de Janeiro, RJ",2013/2013,59.264 Km
Peugeot 208,208 1.5 8V Active (Flex) manual,"R$ 32.299,00","Rio de Janeiro, RJ",2013/2013,55.864 Km
Toyota Etios Sedan,Etios Sedan X 1.5 (Flex) manual,"R$ 32.299,00","Rio de Janeiro, RJ",2013/2013,54.845 Km
Volkswagen Fox,Fox 1.6 VHT (Flex) manual,"R$ 32.299,00","Rio de Janeiro, RJ",2012/2012,56.735 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 32.499,00","Rio de Janeiro, RJ",2013/2014,127.237 Km
Nissan March,March 1.0 16V S (Flex) manual,"R$ 32.499,00","São Paulo, SP",2011/2012,165.899 Km
Chevrolet Classic,Classic LS 1.0 VHCE (Flex) manual,"R$ 32.500,00","Itabuna, BA",2015/2015,99.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 32.500,00","Araucária, PR",2015/2015,58.174 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 32.500,00","Extrema, MG",2013/2014,101.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.500,00","São Paulo, SP",2012/2013,140.000 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 32.500,00","Itajaí, SC",2012/2012,112.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.500,00","São Paulo, SP",2011/2012,112.812 Km
Peugeot 307,307 Hatch. Presence 1.6 16V (flex) manual,"R$ 32.500,00","Pindamonhangaba, SP",2011/2012,132.000 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 2p manual,"R$ 32.500,00","Itapema, SC",2010/2011,134.343 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 32.500,00","Votuporanga, SP",2010/2011,120.000 Km
Fiat Punto,Punto Essence 1.6 16V (Flex) manual,"R$ 32.795,00","São José dos Campos, SP",2010/2011,150.000 Km
Nissan March,March 1.0 16V S (Flex) manual,"R$ 32.799,00","Rio de Janeiro, RJ",2013/2014,53.126 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 32.800,00","Itajaí, SC",2016/2016,106.573 Km
Volkswagen Fox,Fox 1.0 VHT (Flex) 2p manual,"R$ 32.800,00","Macaé, RJ",2012/2013,120.000 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 32.800,00","Vinhedo, SP",2012/2012,123.138 Km
Fiat Palio,Palio Attractive 1.4 8V (Flex) manual,"R$ 32.800,00","Caxias do Sul, RS",2011/2011,112.000 Km
Volkswagen Saveiro,Saveiro 1.6 G4 (Flex) manual,"R$ 32.800,00","São Paulo, SP",2008/2009,199.000 Km
Chevrolet Zafira,Zafira Expression 2.0 (Flex) (Aut) automático,"R$ 32.800,00","Americana, SP",2009/2009,179.529 Km
Ford Fiesta Hatch,Fiesta Hatch SE Rocam 1.6 (Flex) manual,"R$ 32.890,00","Santo André, SP",2013/2014,97.000 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 32.890,00","Suzano, SP",2012/2013,139.019 Km
Volkswagen Gol,Gol 1.0 8V Série 25 anos (Flex) 4p manual,"R$ 32.890,00","Osasco, SP",2012/2013,98.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 32.890,00","São Paulo, SP",2012/2012,139.223 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 32.890,00","São Paulo, SP",2010/2011,137.043 Km
Volkswagen Fox,Fox Prime 1.6 8V I-Motion (Flex) automático,"R$ 32.890,00","Belo Horizonte, MG",2011/2011,201.774 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 32.890,00","Osasco, SP",2010/2010,143.000 Km
Fiat Palio Weekend,Palio Weekend ELX 1.4 8V (Flex) manual,"R$ 32.890,00","Osasco, SP",2010/2010,208.565 Km
Chevrolet Vectra GT,Vectra GT 2.0 8V (Flex) automático,"R$ 32.890,00","São Paulo, SP",2009/2010,150.000 Km
Ford Fusion,Fusion 2.3 SEL automático,"R$ 32.890,00","Campo Grande, MS",2007/2007,123.083 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.899,00","Cuiabá, MT",2013/2014,80.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.899,00","Sorocaba, SP",2011/2012,125.572 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 32.900,00","Campinas, SP",2016/2016,99.700 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Suzano, SP",2015/2016,118.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 32.900,00","Campinas, SP",2016/2016,99.700 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 32.900,00","Campinas, SP",2016/2016,99.700 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 32.900,00","Campinas, SP",2015/2016,83.809 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Curitiba, PR",2015/2015,84.000 Km
Ford Fiesta Hatch,Fiesta Hatch S Rocam 1.0 (Flex) manual,"R$ 32.900,00","Campinas, SP",2014/2014,108.438 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Ponta Grossa, PR",2014/2014,179.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Natal, RN",2013/2014,148.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 32.900,00","Sorocaba, SP",2013/2014,147.484 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Osasco, SP",2013/2014,164.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Santo André, SP",2014/2014,105.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Belo Horizonte, MG",2014/2014,122.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 32.900,00","Fortaleza, CE",2014/2014,79.206 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Rio de Janeiro, RJ",2013/2014,78.000 Km
Ford Fiesta Hatch,Fiesta Hatch S Rocam 1.0 (Flex) manual,"R$ 32.900,00","Campinas, SP",2014/2014,108.438 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 32.900,00","Curitiba, PR",2014/2014,79.415 Km
Ford Fiesta Hatch,Fiesta Hatch S Rocam 1.0 (Flex) manual,"R$ 32.900,00","Blumenau, SC",2013/2014,92.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Jundiaí, SP",2013/2014,83.668 Km
Ford Fiesta Hatch,Fiesta Hatch S Rocam 1.0 (Flex) manual,"R$ 32.900,00","Hortolândia, SP",2014/2014,108.438 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Belo Horizonte, MG",2014/2014,90.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Curitiba, PR",2013/2014,86.342 Km
Ford Fiesta Sedan,Fiesta Sedan SE 1.6 Rocam (Flex) manual,"R$ 32.900,00","Curitiba, PR",2013/2014,92.209 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 32.900,00","Taubaté, SP",2012/2013,135.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 32.900,00","Curitiba, PR",2012/2013,122.044 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.900,00","São Carlos, SP",2012/2013,134.908 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 32.900,00","Santos, SP",2012/2013,76.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 32.900,00","Brasília, DF",2012/2013,156.800 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Praia Grande, SP",2012/2013,137.705 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 32.900,00","Campinas, SP",2013/2013,103.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Cabo Frio, RJ",2013/2013,110.604 Km
Fiat Idea,Idea Attractive 1.4 8V (Flex) manual,"R$ 32.900,00","Fortaleza, CE",2012/2013,94.000 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 32.900,00","Sertãozinho, SP",2012/2013,120.000 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 32.900,00","São José do Rio Preto, SP",2012/2013,129.361 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 32.900,00","Aparecida de Goiânia, GO",2012/2013,112.841 Km
Nissan March,March 1.6 16V S (Flex) manual,"R$ 32.900,00","Rio de Janeiro, RJ",2013/2013,93.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.900,00","Contagem, MG",2012/2013,108.000 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 32.900,00","Pilar do Sul, SP",2012/2013,86.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Belo Horizonte, MG",2013/2013,105.000 Km
Nissan Livina,Livina S 1.6 16V (flex) manual,"R$ 32.900,00","São Paulo, SP",2013/2013,261.943 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.900,00","Sete Lagoas, MG",2012/2013,125.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","São Paulo, SP",2012/2013,147.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 32.900,00","Curitiba, PR",2013/2013,83.731 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 32.900,00","Brasília, DF",2012/2013,80.429 Km
Nissan Livina,Livina S 1.6 16V (flex) manual,"R$ 32.900,00","Salvador, BA",2012/2013,181.600 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.900,00","Tubarão, SC",2012/2013,130.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.900,00","Curitiba, PR",2012/2013,142.029 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 32.900,00","Suzano, SP",2012/2012,120.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Araraquara, SP",2012/2012,120.000 Km
Chevrolet Meriva,Meriva Maxx 1.4 (Flex) manual,"R$ 32.900,00","Araranguá, SC",2012/2012,166.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.900,00","São Paulo, SP",2011/2012,147.600 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 32.900,00","São Paulo, SP",2011/2012,88.253 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.900,00","Fortaleza, CE",2011/2012,96.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Belo Horizonte, MG",2012/2012,211.070 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Brasília, DF",2011/2012,188.691 Km
Fiat Idea,Idea Attractive 1.4 8V (Flex) manual,"R$ 32.900,00","São Paulo, SP",2011/2012,106.000 Km
Peugeot 408,408 Allure 2.0 16V (aut) (Flex) automático,"R$ 32.900,00","Caxias do Sul, RS",2012/2012,132.000 Km
Volkswagen Parati,Parati 1.6 G4 (Flex) manual,"R$ 32.900,00","São Paulo, SP",2011/2012,142.000 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 32.900,00","Indaiatuba, SP",2011/2012,84.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 32.900,00","Betim, MG",2011/2012,97.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 32.900,00","Franca, SP",2011/2012,186.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Bocaiúva do Sul, PR",2011/2012,154.000 Km
Renault Megane Grand Tour,Mégane Grand Tour Dynamique 1.6 16V (flex) manual,"R$ 32.900,00","Joinville, SC",2011/2012,123.456 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Rio Bonito, RJ",2012/2012,90.126 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 4p manual,"R$ 32.900,00","Belo Horizonte, MG",2011/2012,120.095 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 32.900,00","Serra, ES",2011/2012,88.000 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 32.900,00","Curitiba, PR",2012/2012,98.000 Km
Volkswagen Fox,Fox 1.0 VHT (Flex) 4p manual,"R$ 32.900,00","Manaus, AM",2012/2012,45.500 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.900,00","São Paulo, SP",2011/2012,169.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 32.900,00","Sorocaba, SP",2011/2012,125.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.900,00","Timbó, SC",2012/2012,158.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Joinville, SC",2011/2012,123.000 Km
Volkswagen Fox,Fox 1.0 VHT (Flex) 4p manual,"R$ 32.900,00","São Paulo, SP",2011/2012,98.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 32.900,00","Quixadá, CE",2010/2011,124.259 Km
Renault Megane Sedan,Mégane Sedan Expression 1.6 16V (flex) manual,"R$ 32.900,00","Barueri, SP",2010/2011,173.000 Km
Fiat Idea,Idea Adventure 1.8 16V E.TorQ Dualogic (Flex) automático,"R$ 32.900,00","Ribeirão Preto, SP",2011/2011,158.000 Km
Citroën C4,C4 GLX 1.6 (flex) manual,"R$ 32.900,00","Suzano, SP",2010/2011,126.000 Km
Chevrolet Meriva,Meriva Maxx 1.4 (Flex) manual,"R$ 32.900,00","Santa Bárbara D'Oeste, SP",2010/2011,140.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Belo Horizonte, MG",2010/2011,135.529 Km
Fiat Idea,Idea Essence 1.6 16V E.TorQ (Flex) manual,"R$ 32.900,00","São José do Rio Preto, SP",2010/2011,154.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Curitiba, PR",2010/2011,92.151 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Belo Horizonte, MG",2011/2011,147.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 32.900,00","Franca, SP",2010/2011,220.000 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 4p manual,"R$ 32.900,00","Bauru, SP",2010/2011,170.000 Km
Chevrolet Vectra,Vectra Expression 2.0 (Flex) manual,"R$ 32.900,00","São Gonçalo, RJ",2010/2011,106.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 32.900,00","Sorocaba, SP",2010/2011,147.000 Km
Renault Megane Grand Tour,Mégane Grand Tour Dynamique 1.6 16V (flex) manual,"R$ 32.900,00","Guarapuava, PR",2011/2011,175.687 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 32.900,00","Votuporanga, SP",2010/2011,105.000 Km
Peugeot Hoggar,Hoggar Escapade 1.6 16V (flex) manual,"R$ 32.900,00","São Paulo, SP",2010/2011,125.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Campo Grande, MS",2010/2011,90.000 Km
Renault Megane Grand Tour,Mégane Grand Tour Dynamique 1.6 16V (flex) manual,"R$ 32.900,00","Campinas, SP",2011/2011,120.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Santo André, SP",2010/2011,107.673 Km
Volkswagen Fox,Fox Black 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Contagem, MG",2009/2010,107.351 Km
Fiat Punto,Punto HLX 1.8 (Flex) manual,"R$ 32.900,00","Palhoça, SC",2009/2010,174.103 Km
Volkswagen Gol,Gol 1.6 (G5) (Flex) manual,"R$ 32.900,00","Curitiba, PR",2009/2010,134.000 Km
Volkswagen SpaceFox,SpaceFox Route 1.6 8V (Flex) manual,"R$ 32.900,00","Brasília, DF",2009/2010,171.220 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.900,00","Blumenau, SC",2009/2010,166.548 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 32.900,00","Nova Friburgo, RJ",2009/2010,74.274 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 32.900,00","Nova Friburgo, RJ",2008/2009,158.000 Km
Chevrolet Astra Hatch,Astra Hatch Advantage 2.0 (Flex) manual,"R$ 32.900,00","São Paulo, SP",2008/2009,123.681 Km
Chrysler PT Cruiser,PT Cruiser Classic 2.4 16V automático,"R$ 32.900,00","Brasília, DF",2008/2008,163.911 Km
Chevrolet Vectra,Vectra Expression 2.0 (Flex) manual,"R$ 32.900,00","Catanduva, SP",2007/2008,172.784 Km
Ford EcoSport,Ecosport XLT 1.6 (Flex) manual,"R$ 32.900,00","São Bento do Sul, SC",2008/2008,166.338 Km
Volkswagen Golf,Golf 1.6 MI manual,"R$ 32.900,00","Manaus, AM",2005/2005,219.000 Km
Chevrolet Montana,Montana Sport 1.8 (Flex) manual,"R$ 32.900,00","Campo Largo, PR",2004/2005,178.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 32.990,00","Guaíba, RS",2015/2016,116.300 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 32.990,00","Ribeirão Preto, SP",2014/2015,109.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.990,00","Hortolândia, SP",2015/2015,99.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 32.990,00","Londrina, PR",2013/2014,126.000 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 32.990,00","São Bernardo do Campo, SP",2013/2014,98.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 32.990,00","Fortaleza, CE",2013/2014,109.500 Km
Chevrolet Celta,Celta Advantage 1.0 (Flex) manual,"R$ 32.990,00","Campinas, SP",2013/2014,239.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.990,00","São Paulo, SP",2013/2014,127.891 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 32.990,00","Rio de Janeiro, RJ",2012/2013,83.125 Km
Ford Fiesta Sedan,Fiesta Sedan 1.0 Rocam (Flex) manual,"R$ 32.990,00","Vila Velha, ES",2012/2013,80.133 Km
Volkswagen Gol,Gol 1.6 (G5) (Flex) manual,"R$ 32.990,00","São Paulo, SP",2012/2013,87.000 Km
Citroën C3 Picasso,C3 Picasso GLX 1.6 16V (Flex) manual,"R$ 32.990,00","Assis, SP",2011/2012,147.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 32.990,00","Hortolândia, SP",2012/2012,96.000 Km
Volkswagen Fox,Fox 1.0 VHT (Flex) 4p manual,"R$ 32.990,00","São Paulo, SP",2011/2012,117.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 32.990,00","Rio Claro, SP",2011/2012,187.000 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 32.990,00","São Paulo, SP",2011/2011,74.896 Km
Kia Picanto,Picanto EX 1.0 (Aut) automático,"R$ 32.990,00","São Paulo, SP",2010/2011,96.000 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 32.990,00","Porto Alegre, RS",2011/2011,158.908 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 32.990,00","Bragança Paulista, SP",2010/2011,149.089 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 32.990,00","Ribeirão Preto, SP",2010/2011,90.000 Km
Volkswagen Fox,Fox 1.6 8V (Flex) manual,"R$ 32.990,00","São Paulo, SP",2011/2011,173.000 Km
Volkswagen SpaceFox,SpaceFox Sportline 1.6 8V (Flex) manual,"R$ 32.990,00","Campinas, SP",2009/2009,140.000 Km
Ford EcoSport,Ecosport Freestyle 1.6 (Flex) manual,"R$ 32.990,00","Rio de Janeiro, RJ",2009/2009,137.000 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 32.990,00","São Bernardo do Campo, SP",2008/2009,99.999 Km
Volkswagen Polo,Polo Hatch. 1.6 8V E-Flex (Flex) manual,"R$ 32.990,00","Campinas, SP",2009/2009,154.000 Km
Ford EcoSport,Ecosport XLT 1.6 (Flex) manual,"R$ 32.990,00","Uberlândia, MG",2009/2009,88.000 Km
Volkswagen Polo Sedan,Polo Sedan 1.6 8V (Flex) manual,"R$ 32.990,00","Joinville, SC",2007/2008,121.608 Km
Fiat Palio,Palio Fire Way 1.0 8V (Flex) manual,"R$ 32.999,00","Atibaia, SP",2014/2015,120.000 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 32.999,00","São Bernardo do Campo, SP",2011/2012,84.000 Km
Chevrolet Vectra GT,Vectra GT 2.0 8V (Flex) (Aut) automático,"R$ 32.999,00","Itaquaquecetuba, SP",2009/2010,152.972 Km
Toyota Corolla,Corolla Sedan XEi 1.8 16V (nova série) (aut) automático,"R$ 32.999,00","São Paulo, SP",2005/2006,180.000 Km
Nissan March,March 1.6 16V SV (Flex) manual,"R$ 33.000,00","Ilhéus, BA",2012/2013,81.000 Km
Citroën C3 Picasso,C3 Picasso GL 1.6 16V (Flex) manual,"R$ 33.000,00","São Paulo, SP",2011/2012,126.661 Km
Ford EcoSport,Ecosport XLT 1.6 (Flex) manual,"R$ 33.000,00","Mossoró, RN",2008/2008,104.000 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 33.000,00","João Monlevade, MG",2007/2008,183.000 Km
Peugeot 308,308 Allure 1.6 16v (Flex) automático,"R$ 33.399,00","Rio de Janeiro, RJ",2012/2013,59.894 Km
Toyota Etios Sedan,Etios Sedan X 1.5 (Flex) manual,"R$ 33.399,00","Rio de Janeiro, RJ",2013/2013,53.698 Km
Chevrolet Sonic Sedan,Sonic Sedan LTZ (Aut) automático,"R$ 33.499,00","Rio de Janeiro, RJ",2013/2013,128.173 Km
Fiat Grand Siena,Grand Siena Tetrafuel 1.4 8V manual,"R$ 33.499,00","Rio de Janeiro, RJ",2013/2013,54.875 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 33.500,00","Hortolândia, SP",2012/2013,221.967 Km
Volkswagen Fox,Fox 1.6 8V (Flex) manual,"R$ 33.500,00","Votorantim, SP",2010/2011,150.000 Km
Renault Logan,Logan Authentique 1.0 16V (flex) manual,"R$ 33.800,00","Fazenda Rio Grande, PR",2013/2014,151.511 Km
Fiat Uno,Uno Economy 1.4 8V (Flex) 4P manual,"R$ 33.800,00","Cascavel, PR",2012/2013,115.732 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 33.800,00","São José do Rio Preto, SP",2011/2012,189.000 Km
Volkswagen Fusca,Fusca 1500 manual,"R$ 33.800,00","Goiânia, GO",1973/1973,74.885 Km
Ford Fiesta Hatch,Fiesta Hatch SE Plus 1.6 RoCam (Flex) manual,"R$ 33.870,00","Cuiabá, MT",2013/2014,131.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 33.870,00","Osasco, SP",2011/2011,121.000 Km
Chevrolet Zafira,Zafira Elite 2.0 (Flex) automático,"R$ 33.880,00","Campinas, SP",2008/2009,150.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 33.890,00","Contagem, MG",2015/2015,87.749 Km
Ford Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex) manual,"R$ 33.890,00","Barueri, SP",2013/2014,143.118 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 33.890,00","São Paulo, SP",2014/2014,112.460 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 33.890,00","Osasco, SP",2012/2013,116.000 Km
Volkswagen Kombi,Kombi Standard 1.4 (Flex) manual,"R$ 33.890,00","São Paulo, SP",2007/2008,185.000 Km
Fiat Grand Siena,Grand Siena Essence 1.6 16V (Flex) manual,"R$ 33.899,00","Rio de Janeiro, RJ",2014/2014,81.352 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 33.900,00","Cotia, SP",2015/2016,140.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (Flex) manual,"R$ 33.900,00","Nova Iguaçu, RJ",2015/2016,200 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 33.900,00","São Paulo, SP",2015/2015,135.025 Km
Volkswagen Up!,Up! 1.0 12v E-Flex take up! 2p manual,"R$ 33.900,00","São José dos Campos, SP",2015/2015,150.000 Km
Chevrolet Classic,Classic LS 1.0 VHCE (Flex) manual,"R$ 33.900,00","Fortaleza, CE",2014/2015,87.000 Km
